ID,SEMESTER,SYSTEM_ID,RESPONSE_CATEGORY_ID,ANSWER_ID,ANSWER_TEXT,ERROR_CATEGORY_ID,ERROR_SUBCATEGORY_ID,FEEDBACK
151,2021-1,SALON,VARIABLES,151,profesores,MISCONCEPTION,DATA_AS_COMPONENT,"Los profesores son componente porque no me dan ninguna información variable. Un ejemplo: El cielo es un componente de algún sistema, el color del cielo es INFORMACIÓN acerca del componente.,"
152,2021-1,SALON,VARIABLES,152,estudiantes,MISCONCEPTION,DATA_AS_COMPONENT,"Los estudiantes son componentes. Si pones algo en componentes no deben de repetirse en variables o constantes.,"
153,2021-1,SALON,VARIABLES,153,Calidad del salon,INCOMPLETE,NON_ESSENTIAL_ABSTRACTION,
154,2021-1,SALON,CONSTANTS,154,Horario de clases,INCOMPLETE,NON_ESSENTIAL_ABSTRACTION,"Esto es un componente que no hace parte del salón de clase.,"
155,2021-1,PARQUES,CONSTANTS,155,Total de espacios restantes por recorrer,INCOMPLETE,VARIABLE_AS_CONSTANT,"Cada vez que alguien avanza, ese total de espacios restantes por recorrer debe cambiar.,"
156,2021-1,SALON,COMPONENTS,156,uniformes,INCOMPLETE,NON_ESSENTIAL_ABSTRACTION,"Esto es un componente que usan los estudiantes, no algo propio del salón.,"
157,2021-1,SALON,COMPONENTS,157,utiles escolares,OK,OK,
158,2021-1,SALON,COMPONENTS,158,manera didactica,INCOMPLETE,NON_ESSENTIAL_ABSTRACTION,
159,2021-1,CONCIERTO_ESTADIO,CONSTANTS,159,Instrumentos,MISCONCEPTION,COMPONENT_AS_DATA,
160,2021-1,PARQUES,COMPONENTS,160,Estrategias,INCOMPLETE,NON_ESSENTIAL_ABSTRACTION,
161,2021-1,PARQUES,CONSTANTS,161,Reglas del juego,MISCONCEPTION,COMPONENT_AS_DATA,
162,2021-1,SALON,VARIABLES,162,cantidad de basura en los botes,INSTRUCTION,DEFICIENT_RESPONSE,
163,2021-1,SALON,CONSTANTS,163,Lockers,MISCONCEPTION,COMPONENT_AS_DATA,
164,2021-1,CONCIERTO_ESTADIO,VARIABLES,164,Clima,INCOMPLETE,NON_ESSENTIAL_ABSTRACTION,
